id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
1077430,GA,INDIVIDUAL,< 1 year,Ryder,C,RENT,11-02-2021,13-09-2021,13-04-2021,Charged Off,13-05-2021,1314167,car,C4, 60 months,Source Verified,30000,0.01,59.83,0.1527,2500,4,1009
1072053,CA,INDIVIDUAL,9 years,MKC Accounting,E,RENT,01-01-2021,14-12-2021,15-01-2021,Fully Paid,15-02-2021,1288686,car,E1, 36 months,Source Verified,48000,0.0535,109.43,0.1864,3000,4,3939
1069243,CA,INDIVIDUAL,4 years,Chemat Technology Inc,C,RENT,05-01-2021,12-12-2021,09-01-2021,Charged Off,09-02-2021,1304116,car,C5, 36 months,Not Verified,50000,0.2088,421.65,0.1596,12000,11,3522
1041756,TX,INDIVIDUAL,< 1 year,barnes distribution,B,MORTGAGE,25-02-2021,12-12-2021,12-03-2021,Fully Paid,12-04-2021,1272024,car,B2, 60 months,Source Verified,42000,0.054,97.06,0.1065,4500,9,4911
1068350,IL,INDIVIDUAL,10+ years,J&J Steel Inc,A,MORTGAGE,01-01-2021,14-12-2021,15-01-2021,Fully Paid,15-02-2021,1302971,car,A1, 36 months,Verified,83000,0.0231,106.53,0.0603,3500,28,3835
1062608,CA,INDIVIDUAL,3 years,Studio 94 Corp,C,RENT,17-07-2021,16-03-2021,12-08-2021,Fully Paid,12-09-2021,1294481,car,C3, 36 months,Not Verified,28000,0.126,275.96,0.1465,8000,11,8637
1067441,TX,INDIVIDUAL,10+ years,American Airlines,C,MORTGAGE,19-11-2021,14-06-2021,13-12-2021,Fully Paid,13-01-2022,1301833,car,C2, 36 months,Verified,94800,0.2453,205.86,0.1427,6000,30,7218
1066424,PA,INDIVIDUAL,10+ years,SCI Mahanoy,A,OWN,11-06-2021,14-07-2021,14-07-2021,Fully Paid,14-08-2021,1291243,car,A4, 36 months,Source Verified,59000,0.0665,172.1,0.079,5500,23,6172
1065254,FL,INDIVIDUAL,10+ years,Tech Data Corp,A,MORTGAGE,02-09-2021,15-06-2021,12-10-2021,Charged Off,12-11-2021,1299335,car,A5, 36 months,Verified,116400,0.0394,762.08,0.089,24000,31,8650
1064589,MI,INDIVIDUAL,10+ years,teltow contracting,B,MORTGAGE,09-02-2021,16-03-2021,16-03-2021,Fully Paid,16-04-2021,1298401,car,B5, 60 months,Not Verified,36000,0.1773,93.21,0.1269,4125,21,5551
1057766,TX,INDIVIDUAL,10+ years,Ericsson,B,MORTGAGE,22-07-2021,13-09-2021,13-08-2021,Fully Paid,13-09-2021,1289131,car,B5, 36 months,Not Verified,75000,0.088,181.15,0.1269,5400,33,6277
1062734,CA,INDIVIDUAL,3 years,myrvpartsplace.com,B,RENT,11-09-2021,13-03-2021,12-10-2021,Charged Off,12-11-2021,1295018,car,B4, 36 months,Not Verified,75000,0.2288,374.26,0.1242,11200,13,4225
1062654,CA,INDIVIDUAL,4 years,AEG LIVE,B,RENT,11-08-2021,13-10-2021,13-09-2021,Fully Paid,13-10-2021,1294929,car,B3, 36 months,Not Verified,35000,0.0401,165.38,0.1171,5000,3,5728
1020855,CA,INDIVIDUAL,5 years,henkel corporation,B,RENT,11-12-2021,14-12-2021,14-12-2021,Fully Paid,14-01-2022,1249642,car,B5, 36 months,Not Verified,48000,0.1533,268.36,0.1269,8000,15,9661
